Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-08,1011906,1.0,0.0,0.0,0.0,,Momona Hotel,Netsanet,Unspecified
2026-06-08,1012499,1.0,1.0,1.0,1.0,1.0,Getfam Hotel,Alemayehu,Unspecified
2026-06-08,1023776,1.0,1.0,1.0,1.0,1.0,Sami wendmamach,Netsanet,Unspecified
2026-06-08,1024681,1.0,1.0,1.0,1.0,1.0,Sakura Japanese Restaurant,Netsanet,Unspecified
2026-06-08,1024822,1.0,1.0,1.0,1.0,1.0,China Town Bar and Restaurant,Netsanet,Unspecified
2026-06-08,1048146,1.0,1.0,1.0,1.0,1.0,Shi jia zhuang restaurant,Netsanet,Unspecified
2026-06-08,1070790,1.0,0.0,0.0,0.0,,The Bonroyal Hotel,Netsanet,Unspecified
2026-06-08,1090850,1.0,1.0,1.0,1.0,1.0,The Hub Addis Ababa,Alemayehu,Unspecified
2026-06-08,1126810,1.0,1.0,1.0,1.0,1.0,Dusk Addis,Alemayehu,Unspecified
2026-06-08,1130364,1.0,0.0,0.0,0.0,,the address bar,Netsanet,Unspecified
2026-06-08,1193110,1.0,1.0,1.0,1.0,1.0,Mandela bar,Alemayehu,Unspecified
2026-06-08,1211178,1.0,1.0,1.0,1.0,1.0,Shan Tou Special chinesee,Netsanet,Unspecified
2026-06-08,1215088,1.0,1.0,1.0,1.0,1.0,Best Western Plus Pearl Addis,Alemayehu,Unspecified
2026-06-08,1564382,1.0,1.0,1.0,1.0,1.0,Kena Hotel,Alemayehu,Unspecified
2026-06-08,1567318,1.0,0.0,0.0,0.0,,Hakim Bar and Restaurant,Chandra,Unspecified
2026-06-08,1634942,1.0,1.0,1.0,1.0,1.0,Tripple-e Hotel & Spa,Alemayehu,Unspecified
2026-06-08,1896552,1.0,0.0,0.0,0.0,,china restsurant,Netsanet,Unspecified
2026-06-08,1919290,1.0,0.0,0.0,0.0,,Entoto Restaurant,Netsanet,Unspecified
2026-06-08,2174101,1.0,1.0,1.0,1.0,1.0,Gangam korea restaurant,Netsanet,Unspecified
2026-06-08,2180386,1.0,0.0,0.0,0.0,,Vrajn hotel,Netsanet,Unspecified
2026-06-08,2180441,1.0,1.0,1.0,1.0,1.0,Atmosphere lounge,Netsanet,Unspecified
2026-06-08,2350521,1.0,1.0,1.0,1.0,1.0,TAO hotal,Netsanet,Unspecified
2026-06-08,2879434,1.0,1.0,1.0,1.0,1.0,Doubel Tree by hilton,Alemayehu,Unspecified
2026-06-08,2930700,1.0,1.0,1.0,1.0,1.0,Radha`s indian Restaurant,Netsanet,Unspecified
2026-06-08,2934522,1.0,1.0,1.0,1.0,1.0,Megenagna Fiyel Bete,Netsanet,Unspecified
2026-06-08,2956291,1.0,1.0,1.0,1.0,1.0,Tang da hotel,Netsanet,Unspecified
2026-06-09,1000019,1.0,0.0,0.0,0.0,,Shebel Addis,Alemayehu,Unspecified
2026-06-09,1000770,1.0,0.0,0.0,0.0,,Ramada Hotel,Netsanet,Unspecified
2026-06-09,1000772,1.0,1.0,1.0,1.0,1.0,Yober Hotel,Netsanet,Unspecified
2026-06-09,1000814,1.0,1.0,1.0,1.0,1.0,2000 Habesha Cultural House,Netsanet,Unspecified
2026-06-09,1001071,1.0,1.0,1.0,1.0,1.0,Antica Bar and Restaurant,Netsanet,Unspecified
2026-06-09,1001794,1.0,1.0,1.0,1.0,1.0,Washington Hotel,Netsanet,Unspecified
2026-06-09,1001845,1.0,1.0,1.0,1.0,1.0,Desalegn Hotel,Netsanet,Unspecified
2026-06-09,1003509,1.0,0.0,0.0,0.0,,Hiber Ethiopia Cultural House,Netsanet,Unspecified
2026-06-09,1008531,1.0,0.0,0.0,0.0,,Trinity Hotel,Alemayehu,Unspecified
2026-06-09,1008545,1.0,1.0,1.0,1.0,1.0,Mk`s bar,Alemayehu,Unspecified
2026-06-09,1008615,1.0,1.0,1.0,1.0,1.0,Atlas  International Hotel,Alemayehu,Unspecified
2026-06-09,1009386,1.0,0.0,0.0,0.0,,Southern Addis Hotel,Alemayehu,Unspecified
2026-06-09,1012278,1.0,0.0,0.0,0.0,,Kings Hotel,Chandra,Unspecified
2026-06-09,1013652,1.0,1.0,1.0,1.0,1.0,Addisiniya Hotel,Alemayehu,Unspecified
2026-06-09,1014435,1.0,1.0,1.0,1.0,1.0,Lomiyad Supermarket,Alemayehu,Unspecified
